Statistical profiling result from isolate-0x110008000-97458-v8.log, (20311 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *emitCloseNT internal/streams/destroy.js:78:21
      1    0.0%    0.0%  LazyCompile: *createWriteWrap internal/stream_base_commons.js:106:25
      1    0.0%    0.0%  LazyCompile: *connectionListener _http_server.js:412:28
      1    0.0%    0.0%  LazyCompile: *byteLength buffer.js:722:20
      1    0.0%    0.0%  LazyCompile: *arrayClone events.js:602:20
      1    0.0%    0.0%  LazyCompile: *addListener events.js:405:58
      1    0.0%    0.0%  LazyCompile: *_send _http_outgoing.js:305:49
      1    0.0%    0.0%  LazyCompile: *Timeout internal/timers.js:162:17
      1    0.0%    0.0%  LazyCompile: *Readable.removeListener internal/streams/readable.js:887:45
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19

 [C++]:
   ticks  total  nonlib   name
   9571   47.1%   47.6%  T __ZN4node6crypto6PBKDF2ERKN2v820FunctionCallbackInfoINS1_5ValueEEE
   7446   36.7%   37.0%  T _host_get_clock_service
   1974    9.7%    9.8%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    104    0.5%    0.5%  T _vm_copy
     94    0.5%    0.5%  T _posix_spawnattr_destroy
     82    0.4%    0.4%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
     62    0.3%    0.3%  T __kernelrpc_mach_port_set_attributes
     38    0.2%    0.2%  T _semaphore_create
     31    0.2%    0.2%  T _mach_port_allocate
     29    0.1%    0.1%  T __ZN4node13native_module15NativeModuleEnv15CompileFunctionERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     20    0.1%    0.1%  T _mach_timebase_info
