Statistical profiling result from isolate-0x110008000-97458-v8.log, (20311 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  T __ZN2v88internal32Builtin_DatePrototypeToUTCStringEiPmPNS0_7IsolateE
      3    0.0%    0.0%  T __ZNK2v86String10Utf8LengthEPNS_7IsolateE
      3    0.0%    0.0%  T __ZN2v88internal23Builtin_DateConstructorEiPmPNS0_7IsolateE
      2    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser10InitializeERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      2    0.0%    0.0%  t __ZN4node12_GLOBAL__N_111GetLibuvNowERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  t __ZN4node10task_queueL13RunMicrotasksERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  T __ZThn88_N4node15LibuvStreamWrap7IsAliveEv
      2    0.0%    0.0%  T __ZNK2v86String9WriteUtf8EPNS_7IsolateEPciPii
      2    0.0%    0.0%  T __ZN4node11Environment6GetNowEv
      2    0.0%    0.0%  T __ZN2v88internal25Builtin_ArrayBufferIsViewEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal17Builtin_JsonParseEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v86Object3SetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEES5_
      2    0.0%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEEj
      1    0.0%    0.0%  t __pthread_mutex_global_init
      1    0.0%    0.0%  t __ZN4node6Buffer12_GLOBAL__N_114ByteLengthUtf8ERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  t __ZN4node11Environment14AddCleanupHookEPFvPvES1_
      1    0.0%    0.0%  t __ZN4node10StreamBase8ShutdownEN2v85LocalINS1_6ObjectEEE
      1    0.0%    0.0%  t __ZN4node10BaseObject17decrease_refcountEv
      1    0.0%    0.0%  t __ZN2v88internal11StringShape33DispatchToSpecificTypeWithoutCastIZNS1_22DispatchToSpecificTypeIZNS0_6String3GetEiE19StringGetDispatchertJRiEEET0_S4_DpOT1_E17CastingDispatchertJRS4_S6_EEES7_SA_
      1    0.0%    0.0%  T __ZNK2v85Value8IsNumberEv
      1    0.0%    0.0%  T __ZNK2v85Value10IsFunctionEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrap21EmitTraceEventDestroyEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrap11EmitDestroyEb
      1    0.0%    0.0%  T __ZN4node9AsyncWrap10GetAsyncIdERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node28DTRACE_NET_SERVER_CONNECTIONERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node26DTRACE_HTTP_SERVER_REQUESTERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node21DTRACE_NET_STREAM_ENDERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      1    0.0%    0.0%  T __ZN4node13ParseEncodingEPKcNS_8encodingE
      1    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      1    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_10ReadStopJSERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      1    0.0%    0.0%  T __ZN4node10StreamBase6WritevERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node10StreamBase12GetBytesReadERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal9Accessors20FunctionLengthGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal16Builtin_ArrayPopEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v811HandleScopeC1EPNS_7IsolateE

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   9571   47.1%  T __ZN4node6crypto6PBKDF2ERKN2v820FunctionCallbackInfoINS1_5ValueEEE
   9571  100.0%    T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
   9571  100.0%      LazyCompile: ~pbkdf2Sync internal/crypto/pbkdf2.js:44:20
   9532   99.6%        LazyCompile: ~<anonymous> file:///Users/Aliaksandr_Varachai/projects/js-experiments/performance/server.mjs:31:18
   9532  100.0%          LazyCompile: ~handle /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/layer.js:86:49
   9532  100.0%            LazyCompile: ~next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/route.js:114:16

   7446   36.7%  T _host_get_clock_service

   1974    9.7%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    757   38.3%    t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     83   11.0%      LazyCompile: *Socket net.js:268:16
     54   65.1%        LazyCompile: *onconnection net.js:1531:22
     29   34.9%        LazyCompile: ~onconnection net.js:1531:22
     47    6.2%      t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     11   23.4%        LazyCompile: *<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
     11  100.0%          LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
     11  100.0%            LazyCompile: *expressInit /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/init.js:29:30
      8   17.0%        LazyCompile: *encodeUrl /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/encodeurl/index.js:56:20
      8  100.0%          LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
      8  100.0%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      4    8.5%        LazyCompile: ~expressInit /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/init.js:29:30
      3   75.0%          LazyCompile: ~handle /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/layer.js:86:49
      2   66.7%            LazyCompile: ~trim_prefix /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:288:23
      1   33.3%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      1   25.0%          LazyCompile: *handle /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      4    8.5%        LazyCompile: ~encodeUrl /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/encodeurl/index.js:56:20
      4  100.0%          LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
      4  100.0%            LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:629:19
      3    6.4%        LazyCompile: ~format /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/content-type/index.js:65:17
      3  100.0%          LazyCompile: ~setCharset /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/utils.js:250:41
      3  100.0%            LazyCompile: ~send /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/response.js:107:25
      3    6.4%        LazyCompile: ~escapeHtml /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/escape-html/index.js:33:20
      3  100.0%          LazyCompile: ~createHtmlDocument /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:43:29
      3  100.0%            LazyCompile: ~write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
      2    4.3%        LazyCompile: ~onParserExecuteCommon _http_server.js:658:31
      1   50.0%          LazyCompile: ~onParserExecute _http_server.js:601:25
      1   50.0%          LazyCompile: *onParserExecute _http_server.js:601:25
      2    4.3%        LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      2  100.0%          LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      2  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
      2    4.3%        LazyCompile: *createHtmlDocument /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:43:29
      2  100.0%          LazyCompile: *onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
      1   50.0%            LazyCompile: ~callback /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:53:20
      1   50.0%            LazyCompile: *onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
      1    2.1%        LazyCompile: ~stat internal/modules/cjs/loader.js:132:14
      1  100.0%          LazyCompile: ~tryFile internal/modules/cjs/loader.js:334:17
      1  100.0%            LazyCompile: ~tryExtensions internal/modules/cjs/loader.js:350:23
      1    2.1%        LazyCompile: ~match /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/layer.js:110:39
      1  100.0%          LazyCompile: ~matchLayer /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:572:20
      1  100.0%            LazyCompile: ~next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      1    2.1%        LazyCompile: ~header /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/response.js:754:29
      1  100.0%          LazyCompile: ~contentType /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/response.js:594:32
      1  100.0%            LazyCompile: ~sendStatus /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/response.js:353:37
      1    2.1%        LazyCompile: ~clearBuffer internal/streams/writable.js:493:21
      1  100.0%          LazyCompile: *end _http_outgoing.js:769:45
      1  100.0%            LazyCompile: ~write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
      1    2.1%        LazyCompile: ~ServerResponse _http_server.js:162:24
      1  100.0%          LazyCompile: ~parserOnIncoming _http_server.js:809:26
      1  100.0%            LazyCompile: ~parserOnHeadersComplete _http_common.js:75:33
      1    2.1%        LazyCompile: ~<anonymous> internal/per_context/primordials.js:23:10
      1  100.0%          LazyCompile: ~finalizeResolution internal/modules/esm/resolve.js:249:28
      1  100.0%            LazyCompile: ~moduleResolve internal/modules/esm/resolve.js:684:23
      1    2.1%        LazyCompile: *expressInit /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/init.js:29:30
      1  100.0%          LazyCompile: *process_params /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:327:47
      1  100.0%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      1    2.1%        Eval: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/depd/index.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
     46    6.1%      LazyCompile: *end _http_outgoing.js:769:45
     29   63.0%        LazyCompile: *onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
     11   37.9%          LazyCompile: *onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
     11  100.0%            LazyCompile: *endReadableNT internal/streams/readable.js:1320:23
      9   31.0%          LazyCompile: ~callback /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:53:20
      9  100.0%            LazyCompile: ~onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
      9   31.0%          LazyCompile: *callback /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:53:20
      9  100.0%            LazyCompile: ~onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
     12   26.1%        LazyCompile: ~write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
     12  100.0%          LazyCompile: ~listener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:161:20
     12  100.0%            LazyCompile: ~onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
      5   10.9%        LazyCompile: *write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
      5  100.0%          LazyCompile: ~listener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:161:20
      5  100.0%            LazyCompile: ~onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
     38    5.0%      LazyCompile: *endReadable internal/streams/readable.js:1310:21
     38  100.0%        LazyCompile: *Readable.read internal/streams/readable.js:390:35
     22   57.9%          LazyCompile: *Socket.read net.js:620:33
     16   72.7%            LazyCompile: *readableAddChunk internal/streams/readable.js:231:26
      3   13.6%            LazyCompile: ~onStreamRead internal/stream_base_commons.js:165:22
      3   13.6%            LazyCompile: *flow internal/streams/readable.js:989:14
      7   18.4%          LazyCompile: *resume_ internal/streams/readable.js:965:17
      7  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      3    7.9%          LazyCompile: ~resume_ internal/streams/readable.js:965:17
      3  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      2    5.3%          LazyCompile: *onStreamRead internal/stream_base_commons.js:165:22
      2    5.3%          LazyCompile: *flow internal/streams/readable.js:989:14
      1   50.0%            LazyCompile: ~resume_ internal/streams/readable.js:965:17
      1   50.0%            LazyCompile: ~emitReadable_ internal/streams/readable.js:565:23
      2    5.3%          LazyCompile: *emitReadable_ internal/streams/readable.js:565:23
      2  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     36    4.8%      LazyCompile: *ReadableState internal/streams/readable.js:90:23
     33   91.7%        LazyCompile: *Socket net.js:268:16
     18   54.5%          LazyCompile: *onconnection net.js:1531:22
     15   45.5%          LazyCompile: ~onconnection net.js:1531:22
      2    5.6%        LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      1    2.8%        LazyCompile: ~Readable internal/streams/readable.js:187:18
      1  100.0%          LazyCompile: ~Duplex internal/streams/duplex.js:52:16
      1  100.0%            LazyCompile: ~Socket net.js:268:16
     31    4.1%      LazyCompile: *onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
     15   48.4%        LazyCompile: ~callback /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:53:20
     15  100.0%          LazyCompile: ~onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
     15  100.0%            LazyCompile: *endReadableNT internal/streams/readable.js:1320:23
     10   32.3%        LazyCompile: *onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
     10  100.0%          LazyCompile: *endReadableNT internal/streams/readable.js:1320:23
     10  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      6   19.4%        LazyCompile: *callback /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:53:20
      6  100.0%          LazyCompile: ~onevent /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:81:26
      6  100.0%            LazyCompile: *endReadableNT internal/streams/readable.js:1320:23
     26    3.4%      LazyCompile: *resOnFinish _http_server.js:756:21
     14   53.8%        LazyCompile: *onFinish _http_outgoing.js:764:18
     14  100.0%          LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
     14  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     12   46.2%        LazyCompile: *emit events.js:264:44
     12  100.0%          LazyCompile: ~onFinish _http_outgoing.js:764:18
      7   58.3%            LazyCompile: ~callback internal/streams/writable.js:511:44
      5   41.7%            LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
     24    3.2%      LazyCompile: ~expressInit /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/init.js:29:30
     10   41.7%        LazyCompile: *process_params /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:327:47
      9   90.0%          LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      9  100.0%            LazyCompile: *query /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/query.js:39:24
      1   10.0%          LazyCompile: ~next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      1  100.0%            LazyCompile: ~query /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/query.js:39:24
      9   37.5%        LazyCompile: ~handle /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/layer.js:86:49
      5   55.6%          LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      5  100.0%            LazyCompile: ~query /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/query.js:39:24
      4   44.4%          LazyCompile: ~trim_prefix /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:288:23
      4  100.0%            LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:275:64
      5   20.8%        LazyCompile: *handle /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/layer.js:86:49
      4   80.0%          LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      4  100.0%            LazyCompile: ~query /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/query.js:39:24
      1   20.0%          LazyCompile: ~trim_prefix /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:288:23
      1  100.0%            LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:275:64
     23    3.0%      LazyCompile: *nextTick internal/process/task_queues.js:101:18
      5   21.7%        LazyCompile: ~onwrite internal/streams/writable.js:394:17
      5  100.0%          LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:151:30
      5  100.0%            LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
      5   21.7%        LazyCompile: *finishMaybe internal/streams/writable.js:635:21
      3   60.0%          LazyCompile: *Socket.end net.js:590:32
      3  100.0%            LazyCompile: ~socketOnEnd _http_server.js:567:21
      2   40.0%          LazyCompile: ~Writable.end internal/streams/writable.js:554:34
      2  100.0%            LazyCompile: ~Socket.end net.js:590:32
      4   17.4%        LazyCompile: *send /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:272:15
      4  100.0%          LazyCompile: *<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
      4  100.0%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      4   17.4%        LazyCompile: *resOnFinish _http_server.js:756:21
      3   75.0%          LazyCompile: *emit events.js:264:44
      3  100.0%            LazyCompile: ~onFinish _http_outgoing.js:764:18
      1   25.0%          LazyCompile: *onFinish _http_outgoing.js:764:18
      1  100.0%            LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
      3   13.0%        LazyCompile: *Socket._destroy net.js:653:37
      2   66.7%          LazyCompile: *afterShutdown net.js:428:23
      1   33.3%          LazyCompile: ~destroy internal/streams/destroy.js:5:17
      1  100.0%            LazyCompile: ~afterShutdown net.js:428:23
      1    4.3%        LazyCompile: ~prefinish internal/streams/writable.js:622:19
      1  100.0%          LazyCompile: ~finishMaybe internal/streams/writable.js:635:21
      1  100.0%            LazyCompile: ~Writable.end internal/streams/writable.js:554:34
      1    4.3%        LazyCompile: *readableAddChunk internal/streams/readable.js:231:26
      1  100.0%          LazyCompile: ~Readable.push internal/streams/readable.js:222:35
      1  100.0%            LazyCompile: ~parserOnMessageComplete _http_common.js:145:33
     19    2.5%      LazyCompile: *_storeHeader _http_outgoing.js:360:22
     14   73.7%        LazyCompile: *writeHead _http_server.js:250:19
     14  100.0%          LazyCompile: *end _http_outgoing.js:769:45
      8   57.1%            LazyCompile: *onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
      4   28.6%            LazyCompile: ~write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
      2   14.3%            LazyCompile: *write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
      5   26.3%        LazyCompile: ~writeHead _http_server.js:250:19
      4   80.0%          LazyCompile: ~_implicitHeader _http_server.js:245:68
      4  100.0%            LazyCompile: ~write_ _http_outgoing.js:678:16
      1   20.0%          LazyCompile: *end _http_outgoing.js:769:45
      1  100.0%            LazyCompile: ~write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
     18    2.4%      LazyCompile: ~write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
     18  100.0%        LazyCompile: ~listener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:161:20
     18  100.0%          LazyCompile: ~onFinish /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:95:20
     18  100.0%            LazyCompile: ~callback /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:53:20
     18    2.4%      LazyCompile: *attachListener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:140:24
     11   61.1%        LazyCompile: *send /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:272:15
     11  100.0%          LazyCompile: *<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
     11  100.0%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      7   38.9%        LazyCompile: ~onFinished /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:45:20
      7  100.0%          LazyCompile: ~send /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:272:15
      7  100.0%            LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
     16    2.1%      LazyCompile: ~Socket net.js:268:16
     16  100.0%        LazyCompile: ~onconnection net.js:1531:22
     14    1.8%      LazyCompile: *originalurl /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/parseurl/index.js:65:22
      7   50.0%        LazyCompile: ~getResourceName /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:220:26
      7  100.0%          LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
      7  100.0%            LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      7   50.0%        LazyCompile: *<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
      7  100.0%          LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
      7  100.0%            LazyCompile: *expressInit /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/init.js:29:30
     14    1.8%      LazyCompile: *expressInit /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/init.js:29:30
     14  100.0%        LazyCompile: *process_params /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:327:47
     14  100.0%          LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
     14  100.0%            LazyCompile: *query /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/query.js:39:24
     12    1.6%      LazyCompile: ~attachListener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:140:24
     12  100.0%        LazyCompile: ~onFinished /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:45:20
     12  100.0%          LazyCompile: ~send /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:272:15
     12  100.0%            LazyCompile: ~<anonymous> /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:86:19
     12    1.6%      LazyCompile: *Readable.on internal/streams/readable.js:857:33
      5   41.7%        LazyCompile: *connectionListenerInternal _http_server.js:418:36
      4   80.0%          LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      4  100.0%            LazyCompile: ~connectionListener _http_server.js:412:28
      1   20.0%          LazyCompile: *connectionListener _http_server.js:412:28
      1  100.0%            LazyCompile: *onconnection net.js:1531:22
      4   33.3%        LazyCompile: *first /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:24:15
      4  100.0%          LazyCompile: ~attachFinishedListener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:90:32
      4  100.0%            LazyCompile: ~attachListener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:140:24
      1    8.3%        LazyCompile: ~connectionListenerInternal _http_server.js:418:36
      1  100.0%          LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      1  100.0%            LazyCompile: ~connectionListener _http_server.js:412:28
      1    8.3%        LazyCompile: *attachListener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:140:24
      1  100.0%          LazyCompile: ~onFinished /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:45:20
      1  100.0%            LazyCompile: ~send /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:272:15
      1    8.3%        LazyCompile: *Socket net.js:268:16
      1  100.0%          LazyCompile: ~onconnection net.js:1531:22
     11    1.5%      LazyCompile: ~originalurl /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/parseurl/index.js:65:22
